cpf,nome_motorista,telefone,data_cadastro,cnh,status
11111111111,Marcos Silva,61988880001,2023-01-10,B,ATIVO
22222222222,Rafael Torres,61988880002,2023-02-11,C,INATIVO
33333333333,Lucas Rocha,61988880003,2023-03-12,D,EM_ROTA
44444444444,Thiago Gomes,61988880004,2023-04-13,E,DISPONIVEL
55555555555,Rodrigo Alves,61988880005,2023-05-14,B,ATIVO
66666666666,Marcio Franca,61988880006,2023-06-15,C,DISPONIVEL
77777777777,Paulo Lima,61988880007,2023-07-16,D,ATIVO
88888888888,Renato Barros,61988880008,2023-08-17,E,INATIVO
99999999900,Silas Pereira,61988880009,2023-09-18,B,ATIVO
10101010100,Otavio Ramos,61988880010,2023-10-19,D,DISPONIVEL
20202020200,Vitor Henriques,61988880011,2023-11-20,C,EM_ROTA
